title,genres_clean,main_cast,director,vote_average,popularity,overview,clean_title,clean_overview,clean_cast,clean_director
The Hitchhiker's Guide to the Galaxy,Adventure Comedy Family Science Fiction,Martin Freeman Zooey Deschanel Sam Rockwell Yasiin Bey John Malkovich,Garth Jennings,6.6,51.742065,"Mere seconds before the Earth is to be demolished by an alien construction crew, Arthur Dent is swept off the planet by his friend Ford Prefect, a researcher penning a new edition of ""The Hitchhiker's Guide to the Galaxy.""",the hitchhiker s guide to the galaxy,mere second earth demolished alien construction crew arthur dent swept planet friend ford prefect researcher penning new edition hitchhiker guide galaxy,martin freeman zooey deschanel sam rockwell yasiin bey john malkovich,garth jennings
Fat Albert,Comedy Drama Family,Kenan Thompson Shedrack Anderson III Jermaine Williams Keith Robinson Alphonso McAuley,Joel Zwick,4.3,7.157635,"An obese boy named Fat Albert and his friends Rudy, Mushmouth, Bill, Dumb Donald, Russell, and Weird Harold, pulls into trouble when they ""fall"" out of their TV world into the real world, where Fat Albert tries to help a young girl, Doris, make friends.",fat albert,obese boy named fat albert friend rudy mushmouth bill dumb donald russell weird harold pull trouble fall tv world real world fat albert try help young girl doris make friend,kenan thompson shedrack anderson iii jermaine williams keith robinson alphonso mcauley,joel zwick
Resident Evil: Extinction,Horror Action Science Fiction,Milla Jovovich Oded Fehr Ali Larter Iain Glen Mike Epps,Russell Mulcahy,6.1,12.06538,"Years after the Racoon City catastrophe, survivors travel across the Nevada desert, hoping to make it to Alaska. Alice joins the caravan and their fight against hordes of zombies and the evil Umbrella Corp.",resident evil  extinction,year racoon city catastrophe survivor travel across nevada desert hoping make alaska alice join caravan fight horde zombie evil umbrella corp,milla jovovich oded fehr ali larter iain glen mike epps,russell mulcahy
Blended,Comedy,Drew Barrymore Adam Sandler Wendi McLendon-Covey Bella Thorne Terry Crews,Frank Coraci,6.6,44.120328,"After a bad blind date, a man and woman find themselves stuck together at a resort for families, where their attractions grows as their respective kids benefit from the burgeoning relationship.",blended,bad blind date man woman find stuck together resort family attraction grows respective kid benefit burgeoning relationship,drew barrymore adam sandler wendi mclendon covey bella thorne terry crews,frank coraci
Last Holiday,Adventure Comedy Drama,Queen Latifah LL Cool J Timothy Hutton Giancarlo Esposito Alicia Witt,Wayne Wang,6.4,6.156015,"After she's diagnosed with a terminal illness, a shy woman decides to take a European vacation.",last holiday,diagnosed terminal illness shy woman decides take european vacation,queen latifah ll cool j timothy hutton giancarlo esposito alicia witt,wayne wang
The River Wild,Action Adventure Crime Thriller,Meryl Streep David Strathairn Kevin Bacon Benjamin Bratt John C. Reilly,Curtis Hanson,6.1,12.362876,"While on a family vacation,  rafting expert Gail takes on a pair of armed killers while navigating a spectacularly violent river.",the river wild,family vacation rafting expert gail take pair armed killer navigating spectacularly violent river,meryl streep david strathairn kevin bacon benjamin bratt john c  reilly,curtis hanson
The Indian in the Cupboard,Adventure Family Fantasy,Hal Scardino Litefoot Lindsay Crouse Richard Jenkins Rishi Bhat,Frank Oz,5.9,11.095914,A nine-year-old boy gets a plastic Indian and a cupboard for his birthday and finds himself involved in adventure when the Indian comes to life and befriends him.,the indian in the cupboard,nine year old boy get plastic indian cupboard birthday find involved adventure indian come life befriends,hal scardino litefoot lindsay crouse richard jenkins rishi bhat,frank oz
Savages,Crime Drama Thriller,Blake Lively Taylor Kitsch Aaron Taylor-Johnson Benicio del Toro Salma Hayek,Oliver Stone,6.2,31.856589,Pot growers Ben and Chon face off against the Mexican drug cartel who kidnapped their shared girlfriend.,savages,pot grower ben chon face mexican drug cartel kidnapped shared girlfriend,blake lively taylor kitsch aaron taylor johnson benicio del toro salma hayek,oliver stone
Cellular,Action Adventure Crime Thriller,Chris Evans Kim Basinger Jason Statham Jessica Biel William H. Macy,David R. Ellis,6.1,24.459948,A young man receives an emergency phone call on his cell phone from an older woman. She claims to have been kidnapped ï¿½ï¿½ï¿½ and the kidnappers have targeted her husband and child,cellular,young man receives emergency phone call cell phone older woman claim kidnapped kidnapper targeted husband child,chris evans kim basinger jason statham jessica biel william h  macy,david r  ellis
Johnny English,Adventure Action Comedy,Rowan Atkinson John Malkovich Natalie Imbruglia Tasha de Vasconcelos Ben Miller,Peter Howitt,6.0,28.029015,Rowan plays the eponymous lead character in a spoof spy thriller. During the course of the story we follow our hero as he attempts to single-handedly save the country from falling into the hands of a despot.,johnny english,rowan play eponymous lead character spoof spy thriller course story follow hero attempt single handedly save country falling hand despot,rowan atkinson john malkovich natalie imbruglia tasha de vasconcelos ben miller,peter howitt
The Ant Bully,Fantasy Adventure Animation Comedy Family,Julia Roberts Meryl Streep Nicolas Cage Paul Giamatti Bruce Campbell,John A. Davis,5.5,20.239061,"Fed up with being targeted by the neighborhood bully, 10-year-old Lucas Nickle vents his frustrations on the anthill in his front yard ... until the insects shrink him to the size of a bug with a magic elixir. Convicted of ""crimes against the colony,"" Lucas can only regain his freedom by living with the ants and learning their ways.",the ant bully,fed targeted neighborhood bully 10 year old lucas nickle vent frustration anthill front yard insect shrink size bug magic elixir convicted crime colony lucas regain freedom living ant learning way,julia roberts meryl streep nicolas cage paul giamatti bruce campbell,john a  davis
Dune,Action Science Fiction Adventure,Kyle MacLachlan Francesca Annis Leonardo Cimino Brad Dourif José Ferrer,David Lynch,6.5,25.876582,"In the year 10,191, the world is at war for control of the desert planet Dune ï¿½ï¿½ï¿½ the only place where the time-travel substance 'Spice' can be found. But when one leader gives up control, it's only so he can stage a coup with some unsavory chara",dune,year 10 191 world war control desert planet dune place time travel substance spice found one leader give control stage coup unsavory chara,kyle maclachlan francesca annis leonardo cimino brad dourif jos  ferrer,david lynch
Across the Universe,Adventure Drama Music Romance,Evan Rachel Wood Jim Sturgess Joe Anderson Dana Fuchs Martin Luther,Julie Taymor,7.1,11.872841,"Musical based on The Beatles songbook and set in the 60s England, America, and Vietnam. The love story of Lucy and Jude is intertwined with the anti-war movement and social protests of the 60s.",across the universe,musical based beatles songbook set 60 england america vietnam love story lucy jude intertwined anti war movement social protest 60,evan rachel wood jim sturgess joe anderson dana fuchs martin luther,julie taymor
Revolutionary Road,Drama Romance,Leonardo DiCaprio Kate Winslet Michael Shannon Kathryn Hahn David Harbour,Sam Mendes,6.7,20.360549,A young couple living in a Connecticut suburb during the mid-1950s struggle to come to terms with their personal problems while trying to raise their two children. Based on a novel by Richard Yates.,revolutionary road,young couple living connecticut suburb mid 1950s struggle come term personal problem trying raise two child based novel richard yates,leonardo dicaprio kate winslet michael shannon kathryn hahn david harbour,sam mendes
16 Blocks,Action Adventure Crime Thriller,Bruce Willis Yasiin Bey David Morse Jenna Stern David Zayas,Richard Donner,6.2,32.31022,"An aging cop is assigned the ordinary task of escorting a fast-talking witness from police custody to a courthouse, but they find themselves running the gauntlet as other forces try to prevent them from getting there.",16 blocks,aging cop assigned ordinary task escorting fast talking witness police custody courthouse find running gauntlet force try prevent getting,bruce willis yasiin bey david morse jenna stern david zayas,richard donner
Babylon A.D.,Action Adventure Science Fiction Thriller,Vin Diesel Michelle Yeoh Mélanie Thierry Lambert Wilson Charlotte Rampling,Mathieu Kassovitz,5.4,27.568194,"In Babylon A.D Vin Diesel stars as a veteran-turned-mercenary who is hired to deliver a package from the ravages of post-apocalyptic Eastern Europe to a destination in the teeming megalopolis of New York City. The ""package"" is a mysterious young woman with a secret.",babylon a d ,babylon vin diesel star veteran turned mercenary hired deliver package ravage post apocalyptic eastern europe destination teeming megalopolis new york city package mysterious young woman secret,vin diesel michelle yeoh m lanie thierry lambert wilson charlotte rampling,mathieu kassovitz
The Glimmer Man,Action Adventure Crime Drama Thriller,Steven Seagal Keenen Ivory Wayans Bob Gunton Brian Cox Michelle Johnson,John Gray,4.7,6.250282,"A former government operative renowned for his stealth, Jack Cole is now a Los Angeles police detective. When a series of horrible murders occurs in the metro area, Cole is assigned to the case, along with tough-talking fellow cop Jim Campbell. Although the two men clash, they gradually become effective partners as they uncover a conspiracy linked to the killings, which also involves terrorism and organized crime.",the glimmer man,former government operative renowned stealth jack cole los angeles police detective series horrible murder occurs metro area cole assigned case along tough talking fellow cop jim campbell although two men clash gradually become effective partner uncover conspiracy linked killing also involves terrorism organized crime,steven seagal keenen ivory wayans bob gunton brian cox michelle johnson,john gray
